"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Disc Number","Track Number","Track Duration (ms)","Added By","Added At"
"spotify:track:5g64XeV8cIuE69xoOojJlD","Down by Law","spotify:artist:2gDHofVNQ4gpU815TrOiDd","Dayzero","spotify:album:1ScwoDCf9jy75Ulq5ECgo8","Sunday On Spaceship / Down by Law","1","2","221725","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:30Z"
"spotify:track:1psPvKCOH3s79tMAmLbAN9","Addicts","spotify:artist:3lyLUYni8vVP6VyzENRhdd","Chad Dubz","spotify:album:6buIdix7UpB5Jrj9RJHloq","Addicts","1","1","282680","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:30Z"
"spotify:track:5yGFg7r2SmDh9qu59imaVR","Joken","spotify:artist:3qLO1AimpDSNrkJRsEIwZ4","Gramz","spotify:album:6hkYFx56WcJychLjRgkYa8","Joken","1","1","248287","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:30Z"
"spotify:track:2ClpSO94zth6loC3bdv9xT","Zero Sum","spotify:artist:79zrHL975vriU1N4m9O6hS","Shu","spotify:album:2IJZTt3bBKLoLTFXDee4t4","Zero Sum","1","1","243400","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:30Z"
"spotify:track:2YRBPY6nTKrxreHooN2OGU","E.T.","spotify:artist:7ygSJBM6sZ0vXGJvjnL1V5","ENiGMA Dubz","spotify:album:65vzEYKQeOY23xQIaTHchs","DUPPLATES Vol. 4","1","3","296571","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:30Z"
"spotify:track:4zoSaDB8D5Y6ZccKI5WzQv","What Go","spotify:artist:3c3aIUcvGaeRYmqRm9rXqb","Dalek One","spotify:album:28bBRzNoP7p8vMfgkpMOFz","Dark Arts EP","1","4","254535","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:30Z"
"spotify:track:4p9yPioBhXfjCKtQixegH1","Roll Out","spotify:artist:3c3aIUcvGaeRYmqRm9rXqb","Dalek One","spotify:album:28bBRzNoP7p8vMfgkpMOFz","Dark Arts EP","1","6","258787","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:30Z"
"spotify:track:2yxtFaVmafVsY0vps2oT83","Opal","spotify:artist:6IKcdvB03LQUv1N9OdV0sL, spotify:artist:6AU0w0tbAckR0HR5PQ0GCa","Glume, Phossa","spotify:album:2IWDt9TBsi0Ekagwduued1","Opal","1","1","209641","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:30Z"
"spotify:track:5LibieD0NdXxdZ8cXttH95","Magnetic","spotify:artist:3SCAEdZEfpatrvdFeDLD2p, spotify:artist:5bLVaPS5g8PwAbeS7zH8xh","The Widdler, Smilodon","spotify:album:6tTcstA48OAUG4gzDz4sdU","Venting","1","3","252091","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:30Z"
"spotify:track:69ocCCtcJhRLnIja72nI0V","Messed Up - Boylan Remix","spotify:artist:1BsGJieTcDxGqNKDXSaiku, spotify:artist:3XOdjRVzH3ryTLNzRGLzhu","P JAM, Boylan","spotify:album:1NcKLfTbdYYxZhHeTQCwtM","Trilogy Vol 1","1","4","280988","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:30Z"
"spotify:track:66DihevZvSkhTnkn2ux0if","Pacing","spotify:artist:50fccMrp2zhFFghqN6JIp8","Ourman","spotify:album:1uJXHvvbodzRCX2iwtMmaB","Pacing EP","1","2","260571","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:30Z"
